originator_address,loan_class,loan_count,volume_usd,share_of_originator_volume,period
pb1vcvv37pka8nyk2q3lkxz56c3ljeu4p7nkd2mdt,Unknown,15,57952.2,0.10679257552390135,trailing_30d
pb1vcvv37pka8nyk2q3lkxz56c3ljeu4p7nkd2mdt,Other,1,,0.0,trailing_30d
pb1vfx4xuhvynkrw583hw9t799e4hgez2mh04psmv,Auto,159,1120215.05,0.6205408194847687,trailing_30d
pb1vfx4xuhvynkrw583hw9t799e4hgez2mh04psmv,Unknown,232,685008.74,0.3794591805152313,trailing_30d
pb1xn26pu6csqg4vj2apq4x4muvc8g2vgazea9ack,HELOC/Property-Secured,369,47627961.0,1.0,trailing_30d
pb1xn26pu6csqg4vj2apq4x4muvc8g2vgazea9ack,Unknown,794,,0.0,trailing_30d
pb1xvd4k9jg5h0d4dhzr4z0txtwe9p5zxf58xcmxd,Unknown,4763,24282008.93,0.361694371948105,trailing_30d
pb1xvd4k9jg5h0d4dhzr4z0txtwe9p5zxf58xcmxd,HELOC/Property-Secured,687,17989038.6,0.2679569897669591,trailing_30d
pb1xvd4k9jg5h0d4dhzr4z0txtwe9p5zxf58xcmxd,Other,786,17140860.55,0.2553228939646181,trailing_30d
pb1xvd4k9jg5h0d4dhzr4z0txtwe9p5zxf58xcmxd,Consumer/Unsecured,800,7722144.35,0.11502574432031795,trailing_30d
pb1xxdjdaasyfq2sew8e8pvpmc7nkktc9ksrmdlq4,Unknown,13,161844.89,0.7423928022733854,trailing_30d
pb1xxdjdaasyfq2sew8e8pvpmc7nkktc9ksrmdlq4,HELOC/Property-Secured,3,56159.5,0.25760719772661456,trailing_30d
pb1xxdjdaasyfq2sew8e8pvpmc7nkktc9ksrmdlq4,Other,3,,0.0,trailing_30d
pb1xzl9wgh0ry2dma43f58vmuteqd3996j6mhqhgz,Unknown,154,2049168.23,0.40147290529968593,trailing_30d
pb1xzl9wgh0ry2dma43f58vmuteqd3996j6mhqhgz,Other,32,1583318.5,0.310203656734294,trailing_30d
pb1xzl9wgh0ry2dma43f58vmuteqd3996j6mhqhgz,HELOC/Property-Secured,69,1471639.11,0.28832343796602006,trailing_30d
pb1xzvkzyt5q3940rp2e299hx0e5udrhgne2a8ylk,Unknown,35,474698.26,0.7152696511677246,trailing_30d
pb1xzvkzyt5q3940rp2e299hx0e5udrhgne2a8ylk,Other,5,150637.0,0.22697802693220853,trailing_30d
pb1xzvkzyt5q3940rp2e299hx0e5udrhgne2a8ylk,HELOC/Property-Secured,12,38328.1,0.057752321900066926,trailing_30d
pb1yanv2m82r4j90len04gf8hftqgelhtu885ekw8,HELOC/Property-Secured,15,351297.38,0.5831503968207857,trailing_30d
pb1yanv2m82r4j90len04gf8hftqgelhtu885ekw8,Unknown,38,126116.83,0.20935276961154556,trailing_30d
pb1yanv2m82r4j90len04gf8hftqgelhtu885ekw8,Other,5,124998.79,0.20749683356766868,trailing_30d
pb1ynpk833mljl5v4jl6qx6t6t4cqzy3nkx06ce8y,Other,1,125946.0,1.0,trailing_30d
pb1zxmqmr8euz8lu6q8yvr6m2udm77xqcyn7tk0yy,Unknown,20,304749.0,0.9010537706895634,trailing_30d
pb1zxmqmr8euz8lu6q8yvr6m2udm77xqcyn7tk0yy,Other,2,33465.0,0.09894622931043659,trailing_30d
pb1zxmqmr8euz8lu6q8yvr6m2udm77xqcyn7tk0yy,HELOC/Property-Secured,8,,0.0,trailing_30d
